,open time,close,Success/Fail,Earning Rate (%)
Start,2020-02-22 17:00:00,11478000.0
End,2020-03-02 21:00:00,10570000.0,Failed,-7.960000000000001
Start,2020-03-02 21:00:00,10570000.0
End,2020-03-05 17:00:00,10805000.0,Failed,2.17
Start,2020-03-05 17:00:00,10805000.0
End,2020-03-15 17:00:00,6936000.0,Failed,-35.86
Start,2020-03-15 17:00:00,6936000.0
End,2020-03-16 09:00:00,6753000.0,Failed,-2.69
Start,2020-03-16 09:00:00,6753000.0
End,2020-03-18 21:00:00,6679000.0,Failed,-1.15
Start,2020-03-18 21:00:00,6679000.0
End,2020-03-23 21:00:00,7759000.0,Failed,16.12
Start,2020-03-23 21:00:00,7759000.0
End,2020-03-30 21:00:00,7746000.0,Failed,-0.21999999999999997
Start,2020-03-30 21:00:00,7746000.0
End,2020-04-02 05:00:00,8074000.0,Failed,4.18
Start,2020-04-02 05:00:00,8074000.0
End,2020-04-06 09:00:00,8270000.0,Failed,2.38
Start,2020-04-06 09:00:00,8270000.0
End,2020-04-09 21:00:00,8780000.0,Failed,6.12
Start,2020-04-09 21:00:00,8780000.0
End,2020-04-13 01:00:00,8689000.0,Failed,-1.09
Start,2020-04-13 01:00:00,8689000.0
End,2020-04-15 21:00:00,8215000.0,Failed,-5.510000000000001
Start,2020-04-15 21:00:00,8215000.0
End,2020-04-16 17:00:00,8477000.0,Failed,3.1399999999999997
Start,2020-04-16 17:00:00,8477000.0
End,2020-04-23 05:00:00,8636000.0,Failed,1.83
Start,2020-04-23 05:00:00,8636000.0
End,2020-05-03 05:00:00,10882000.0,Failed,25.96
Start,2020-05-03 05:00:00,10882000.0
End,2020-05-06 05:00:00,10972000.0,Failed,0.7799999999999999
Start,2020-05-06 05:00:00,10972000.0
End,2020-05-14 05:00:00,11268000.0,Failed,2.65
Start,2020-05-14 05:00:00,11268000.0
End,2020-05-17 21:00:00,11747000.0,Failed,4.2
Start,2020-05-17 21:00:00,11747000.0
End,2020-05-24 09:00:00,11148000.0,Failed,-5.1499999999999995
Start,2020-05-24 09:00:00,11148000.0
End,2020-05-27 17:00:00,11112000.0,Failed,-0.37
Start,2020-05-27 17:00:00,11112000.0
End,2020-06-08 05:00:00,11687000.0,Failed,5.12
Start,2020-06-08 05:00:00,11687000.0
End,2020-06-14 13:00:00,11322000.0,Failed,-3.17
Start,2020-06-14 13:00:00,11322000.0
End,2020-06-16 05:00:00,11346000.0,Failed,0.15999999999999998
Start,2020-06-16 05:00:00,11346000.0
End,2020-06-21 05:00:00,11325000.0,Failed,-0.24000000000000002
Start,2020-06-21 05:00:00,11325000.0
End,2020-06-22 09:00:00,11302000.0,Failed,-0.25
Start,2020-06-22 09:00:00,11302000.0
End,2020-06-28 21:00:00,11023000.0,Failed,-2.52
Start,2020-06-28 21:00:00,11023000.0
