,open time,close,Success/Fail,Earning Rate (%)
Start,2021-05-30 05:00:00,42688000.0
End,2021-05-30 09:00:00,42041000.0,Failed,-1.5699999999999998
Start,2021-05-30 13:00:00,43109000.0
End,2021-05-31 09:00:00,41610000.0,Failed,-3.53
Start,2021-05-31 13:00:00,42637000.0
End,2021-06-01 13:00:00,43444000.0,Failed,1.8399999999999999
Start,2021-06-02 05:00:00,43200000.0
End,2021-06-02 09:00:00,42737000.0,Failed,-1.1199999999999999
Start,2021-06-02 13:00:00,43314000.0
End,2021-06-04 09:00:00,44616000.0,Failed,2.96
Start,2021-06-05 09:00:00,43286000.0
End,2021-06-05 17:00:00,42077000.0,Failed,-2.8400000000000003
Start,2021-06-06 21:00:00,42089000.0
End,2021-06-07 01:00:00,41839000.0,Failed,-0.6399999999999999
Start,2021-06-07 09:00:00,41988000.0
End,2021-06-07 13:00:00,41743000.0,Failed,-0.63
Start,2021-06-09 01:00:00,37900000.0
End,2021-06-10 21:00:00,42904000.0,Failed,13.15
Start,2021-06-11 13:00:00,43229000.0
End,2021-06-11 21:00:00,42676000.0,Failed,-1.33
Start,2021-06-12 01:00:00,43298000.0
End,2021-06-12 09:00:00,41486000.0,Failed,-4.2299999999999995
Start,2021-06-13 05:00:00,41430000.0
End,2021-06-13 09:00:00,40692000.0,Failed,-1.83
Start,2021-06-13 13:00:00,41310000.0
End,2021-06-15 01:00:00,45938000.0,Failed,11.15
Start,2021-06-17 13:00:00,45634000.0
End,2021-06-18 01:00:00,44647000.0,Failed,-2.21
Start,2021-06-19 17:00:00,42177000.0
End,2021-06-20 09:00:00,42018000.0,Failed,-0.43
Start,2021-06-20 13:00:00,42139000.0
End,2021-06-20 17:00:00,40479000.0,Failed,-3.9899999999999998
Start,2021-06-21 01:00:00,41739000.0
End,2021-06-21 09:00:00,40787000.0,Failed,-2.33
Start,2021-06-22 09:00:00,38781000.0
End,2021-06-22 17:00:00,36602000.0,Failed,-5.67
Start,2021-06-23 01:00:00,37726000.0
End,2021-06-24 01:00:00,38513000.0,Failed,2.0399999999999996
Start,2021-06-24 05:00:00,39077000.0
End,2021-06-24 09:00:00,38057000.0,Failed,-2.66
Start,2021-06-24 17:00:00,39407000.0
End,2021-06-25 13:00:00,39679000.0,Failed,0.6399999999999999
Start,2021-06-26 17:00:00,36989000.0
End,2021-06-28 01:00:00,38241000.0,Failed,3.3299999999999996
Start,2021-06-28 05:00:00,39985000.0
End,2021-06-28 17:00:00,39464000.0,Failed,-1.35
Start,2021-06-28 21:00:00,40478000.0
End,2021-06-29 01:00:00,39938000.0,Failed,-1.38
Start,2021-06-29 13:00:00,40436000.0
End,2021-06-30 09:00:00,40687000.0,Failed,0.5700000000000001
Start,2021-07-01 05:00:00,40674000.0
End,2021-07-01 09:00:00,39750000.0,Failed,-2.3200000000000003
Start,2021-07-02 05:00:00,39320000.0
End,2021-07-02 09:00:00,38391000.0,Failed,-2.41
Start,2021-07-02 13:00:00,39070000.0
End,2021-07-02 17:00:00,38808000.0,Failed,-0.72
Start,2021-07-02 21:00:00,39439000.0
End,2021-07-05 05:00:00,40948000.0,Failed,3.7800000000000002
Start,2021-07-06 01:00:00,39820000.0
End,2021-07-06 05:00:00,39506000.0,Failed,-0.8400000000000001
Start,2021-07-06 09:00:00,39587000.0
End,2021-07-06 21:00:00,39751000.0,Failed,0.36000000000000004
Start,2021-07-07 05:00:00,39814000.0
End,2021-07-08 05:00:00,39743000.0,Failed,-0.22999999999999998
Start,2021-07-09 01:00:00,39105000.0
End,2021-07-09 09:00:00,38822000.0,Failed,-0.77
Start,2021-07-09 21:00:00,39486000.0
End,2021-07-11 01:00:00,39590000.0,Failed,0.21
Start,2021-07-11 17:00:00,39795000.0
End,2021-07-12 17:00:00,39600000.0,Failed,-0.54
Start,2021-07-14 05:00:00,38713000.0
End,2021-07-14 09:00:00,37885000.0,Failed,-2.19
Start,2021-07-14 17:00:00,38589000.0
End,2021-07-15 13:00:00,38290000.0,Failed,-0.8200000000000001
Start,2021-07-16 09:00:00,37573000.0
End,2021-07-16 17:00:00,36854000.0,Failed,-1.96
Start,2021-07-16 21:00:00,37962000.0
End,2021-07-17 09:00:00,36983000.0,Failed,-2.63
Start,2021-07-17 13:00:00,37298000.0
End,2021-07-17 17:00:00,37158000.0,Failed,-0.43
Start,2021-07-17 21:00:00,37578000.0
End,2021-07-18 05:00:00,37205000.0,Failed,-1.04
Start,2021-07-18 09:00:00,37793000.0
End,2021-07-18 21:00:00,37126000.0,Failed,-1.81
Start,2021-07-19 01:00:00,37466000.0
End,2021-07-19 09:00:00,37304000.0,Failed,-0.48000000000000004
Start,2021-07-19 13:00:00,37415000.0
End,2021-07-19 17:00:00,37213000.0,Failed,-0.5900000000000001
Start,2021-07-21 05:00:00,35305000.0
End,2021-07-22 17:00:00,37653000.0,Failed,6.6000000000000005
Start,2021-07-22 21:00:00,38260000.0
End,2021-07-23 01:00:00,38030000.0,Failed,-0.65
Start,2021-07-23 09:00:00,38182000.0
